0,1,0.5859722320691183,2,0.41402776793088164
0,1,0.8493347163067261,0,0.15066528369327392
0,2,0.6500399779417775,3,0.3499600220582225
0,4,0.5006707509697146,3,0.4993292490302854
1,1,0.800703645457501,2,0.19929635454249905
1,3,0.6130726518367451,2,0.38692734816325486
3,2,0.9178495459801287,3,0.0821504540198713
3,2,0.5392341125391097,1,0.4607658874608903
4,3,0.757385452612588,4,0.24261454738741195
4,3,0.7923286289692532,2,0.20767137103074687
5,1,0.8533917997783131,2,0.14660820022168686
5,2,0.71896150255912,1,0.28103849744088005
6,2,0.9007993909663601,1,0.09920060903363996
6,2,0.8037196778362993,3,0.1962803221637007
6,3,0.933179011538847,4,0.06682098846115306
