1,3,1,0,1,2,0.049829489981555945
1,1,1,0,1,2,0.048361400682252045
1,2,1,1,2,3,0.048061474903132256
1,2,2,2,0,0,0.0476316274718578
1,1,2,1,1,2,0.04725181925525398
1,1,0,1,0,1,0.047141719965067
1,1,1,1,0,1,0.046041784458680055
1,2,2,1,2,2,0.04596623365594653
1,2,1,2,1,1,0.044557838260707576
1,2,1,1,1,3,0.04428879902952429
1,3,1,0,1,1,0.04389899641308719
1,0,0,2,0,1,0.04373272528376616
1,2,0,0,2,3,0.04322529250677869
1,2,0,2,0,2,0.04188239744112516
1,1,1,2,2,3,0.04185595067989135
1,2,0,2,0,0,0.041553520749374045
1,1,0,0,1,1,0.04129001984230928
1,1,2,1,0,1,0.04043385300855009
1,2,0,1,2,3,0.040431351035302196
1,2,0,0,1,3,0.0402926006185694
1,2,2,0,1,1,0.03952733867055698
1,0,1,1,2,3,0.03912530913099964
1,1,1,1,1,1,0.03852688104070434
1,2,0,1,0,0,0.038076113172000076
1,2,0,1,1,0,0.03782578254016143
1,2,0,1,1,1,0.03758611228451414
1,2,0,2,1,1,0.036980981393830076
1,1,1,1,0,0,0.036161081292468894
1,2,1,0,1,0,0.035996232178359636
1,2,1,0,0,0,0.03599037360432615
1,2,0,0,1,2,0.03501239119034027
1,1,0,0,1,2,0.03412896237016133
1,0,2,0,2,2,0.03329926486327899
2,0,2,2,3,3,0.04986977139567497
2,1,3,3,2,3,0.049090121282207785
2,3,1,1,2,0,0.04881530122530425
2,2,0,3,3,3,0.04829146147088031
2,3,0,3,3,2,0.04797830671989232
2,2,2,2,3,3,0.047617325194078755
2,3,2,0,1,0,0.04643447589373489
2,2,2,0,3,1,0.045255080096991654
2,3,1,0,3,2,0.044752426369368874
2,2,0,3,3,2,0.044729965576658294
2,3,2,2,2,3,0.04444628922422796
2,2,1,0,3,3,0.04252286622673265
2,3,3,3,2,2,0.0424237618453471
2,3,2,2,3,2,0.042024869122135065
2,3,1,1,2,2,0.04171410609010002
2,2,3,1,3,3,0.04051939908094817
2,2,1,3,2,3,0.04001980981590776
2,2,0,1,3,3,0.03920175292371278
2,3,2,1,3,3,0.038604499498975105
2,3,1,0,1,0,0.03848811804947753
2,3,1,0,3,3,0.03791935185765074
2,3,2,3,3,2,0.03729984656565976
2,0,2,3,3,2,0.03704408473944379
2,2,1,3,3,3,0.0367029233496988
2,3,1,3,3,2,0.03646491657848032
2,0,2,3,3,3,0.03533587400316063
2,2,2,3,3,2,0.03443062758648067
3,3,3,3,1,2,0.04900338421623186
3,2,3,1,0,1,0.04215481261866635
3,2,3,3,1,0,0.041235188036572105
3,2,2,2,2,0,0.03935945180348293
3,2,3,2,0,1,0.0372879786331157
3,3,3,2,1,0,0.03726384651658456
4,3,3,0,1,0,0.04976067021626874
4,2,3,1,2,0,0.04935336855378425
4,3,3,0,2,2,0.047410339060065684
4,3,3,1,1,2,0.042101967019025646
4,2,3,2,1,2,0.04193509093341646
4,2,2,1,2,0,0.04137658306101732
4,3,2,0,2,1,0.03954424220180922
4,2,3,0,1,0,0.03909766944021589
4,2,3,0,2,2,0.037250980675356295
4,3,3,1,3,1,0.03608349158665568
4,2,3,1,1,2,0.03308011693047022
4,2,3,0,2,0,0.0304262183083152
